experiment_name,dataset_split,train_size,val_size,test_size,network,pretrained,attention,attention_position,batch_size,backbone_lr,attention_lr,head_lr,optimizer,scheduler,epochs_configured,epochs_completed,train_batches_per_epoch,total_train_iterations,loss_function,evaluation_metrics,augmentation,eval_transform,logger
ablation_resnet18_pretrained,official Flowers102 train/val/test,1020,1020,6149,resnet18,True,none,none,64,0.0001,0.0005,0.001,adamw,cosine,30,30,16,480,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",wandb
ablation_resnet18_scratch,official Flowers102 train/val/test,1020,1020,6149,resnet18,False,none,none,64,0.0001,0.0005,0.001,adamw,cosine,30,30,16,480,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",wandb
ablation_resnet34_pretrained,official Flowers102 train/val/test,1020,1020,6149,resnet34,True,none,none,32,0.0001,0.0005,0.001,adamw,cosine,30,30,32,960,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",wandb
ablation_resnet34_scratch,official Flowers102 train/val/test,1020,1020,6149,resnet34,False,none,none,32,0.0001,0.0005,0.001,adamw,cosine,30,30,32,960,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",wandb
attention_baseline_resnet18,official Flowers102 train/val/test,1020,1020,6149,resnet18,True,none,none,64,0.0001,0.0005,0.001,adamw,cosine,30,30,16,480,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",wandb
attention_cbam_resnet18,official Flowers102 train/val/test,1020,1020,6149,resnet18,True,cbam,inside each BasicBlock after bn2 and before residual add,64,0.0001,0.0005,0.001,adamw,cosine,30,30,16,480,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",wandb
attention_se_resnet18,official Flowers102 train/val/test,1020,1020,6149,resnet18,True,se,inside each BasicBlock after bn2 and before residual add,64,0.0001,0.0005,0.001,adamw,cosine,30,30,16,480,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",wandb
baseline_resnet18_pretrained,official Flowers102 train/val/test,1020,1020,6149,resnet18,True,none,none,64,0.0001,0.0005,0.001,adamw,cosine,30,30,16,480,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",wandb
baseline_resnet34_pretrained,official Flowers102 train/val/test,1020,1020,6149,resnet34,True,none,none,32,0.0001,0.0005,0.001,adamw,cosine,30,30,32,960,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",wandb
extended_attention_cbam_resnet18_epochs50,official Flowers102 train/val/test,1020,1020,6149,resnet18,True,cbam,inside each BasicBlock after bn2 and before residual add,64,0.0001,0.0005,0.001,adamw,cosine,50,50,16,800,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",none
extended_attention_se_resnet18_epochs50,official Flowers102 train/val/test,1020,1020,6149,resnet18,True,se,inside each BasicBlock after bn2 and before residual add,64,0.0001,0.0005,0.001,adamw,cosine,50,50,16,800,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",none
extended_scratch_resnet18_epochs100_lr1e3,official Flowers102 train/val/test,1020,1020,6149,resnet18,False,none,none,64,0.001,0.0005,0.001,adamw,cosine,100,100,16,1600,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",none
extended_scratch_resnet34_epochs100_lr1e3,official Flowers102 train/val/test,1020,1020,6149,resnet34,False,none,none,32,0.001,0.0005,0.001,adamw,cosine,100,100,32,3200,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",none
hparam_resnet18_lr1_epochs30,official Flowers102 train/val/test,1020,1020,6149,resnet18,True,none,none,64,0.0001,0.0005,0.001,adamw,cosine,30,30,16,480,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",wandb
hparam_resnet18_lr1_epochs50,official Flowers102 train/val/test,1020,1020,6149,resnet18,True,none,none,64,0.0001,,0.001,adamw,cosine,50,50,16,800,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",none
hparam_resnet18_lr2_epochs30,official Flowers102 train/val/test,1020,1020,6149,resnet18,True,none,none,64,5e-05,,0.0005,adamw,cosine,30,30,16,480,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",none
hparam_resnet18_lr2_epochs50,official Flowers102 train/val/test,1020,1020,6149,resnet18,True,none,none,64,5e-05,0.0005,0.0005,adamw,cosine,50,50,16,800,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",wandb
hparam_resnet34_lr1_epochs30,official Flowers102 train/val/test,1020,1020,6149,resnet34,True,none,none,32,0.0001,0.0005,0.001,adamw,cosine,30,30,32,960,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",wandb
hparam_resnet34_lr1_epochs50,official Flowers102 train/val/test,1020,1020,6149,resnet34,True,none,none,32,0.0001,,0.001,adamw,cosine,50,50,32,1600,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",none
hparam_resnet34_lr2_epochs30,official Flowers102 train/val/test,1020,1020,6149,resnet34,True,none,none,32,5e-05,,0.0005,adamw,cosine,30,30,32,960,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",none
hparam_resnet34_lr2_epochs50,official Flowers102 train/val/test,1020,1020,6149,resnet34,True,none,none,32,5e-05,0.0005,0.0005,adamw,cosine,50,50,32,1600,CrossEntropyLoss,"Top-1 Accuracy, macro mAP","RandomResizedCrop, RandomHorizontalFlip, light ColorJitter, ImageNet Normalize","Resize, CenterCrop, ImageNet Normalize",wandb
